2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.calibrators.rfi.tricolour.window-backend = numpy
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.calibrators.rfi.tricolour.flagging-strategy = polarisation
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.calibrators.rfi.tricolour.config = mk_rfi_flagging_calibrator_fields_firstpass.yaml
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.calibrators.manual.enable = True
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.calibrators.manual.restore.enable = False
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.calibrators.manual.summary.enable = True
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.calibrators.manual.spw.enable = False
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.calibrators.manual.spw.spw = *:1200MHz~1230MHz,*:1280MHz~1300MHz,*:1560MHz~1610MHz
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.calibrators.manual.scan.enable = True
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.calibrators.manual.scan.scan = 22
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.calibrators.manual.field.enable = False
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.calibrators.manual.field.field = 
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.calibrators.manual.antenna.enable = True
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.calibrators.manual.antenna.antenna = m003
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.calibrators.manual.antenna.timerange = 
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.calibrators.manual.timerange.enable = False
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.calibrators.manual.timerange.timerange = YYYY/MM/DD/HH:MM:SS~YYYY/MM/DD/HH:MM:SS
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.calibrators.unflag.enable = False
